filename,extension,detected_type,file_size_kb,width,height,has_exif,has_gps,latitude,longitude,camera_make,camera_model,datetime_original,page_count,sha256_hash
091bfbc59c15cb816c941e790f01ddc0.pdf,.pdf,pdf,117.64,,,False,False,,,,,,1,aacb509fad3c72ce...
0939c51e99c8f95a1e8145a8a6437eb4.pdf,.pdf,pdf,311.44,,,False,False,,,,,,1,2fad922e646ab5f1...
094fa1cd83a5c7cc8cba910b5fcc89d9.pdf,.pdf,pdf,191.91,,,False,False,,,,,,1,a9f7d50379d49de5...
094fe459f5c0ecf24ae1820734a0014c.pdf,.pdf,pdf,274.15,,,False,False,,,,,,1,67b506fee6d2d576...
095ad65dbf2f31ff6e262f8fc2cda2c4.jpg,.jpg,jpg,270.07,1152,864,False,False,,,,,,,b96f15ef5b063d5e...
09640da9b305a087010e6d76dbd83d8c.pdf,.pdf,pdf,178.75,,,False,False,,,,,,2,365a34f68ffc800b...
097b3719a74316b1f0cd3d5751e7dafc.jpg,.jpg,jpg,135.08,646,774,False,False,,,,,,,b85fb35b04b7febb...
09847032ea2b6f80c5e4dcefed23b172.pdf,.pdf,pdf,368.04,,,False,False,,,,,,1,536626b5ce3fca2f...
0998a9b046a627542d1b8a2818c3d00f.jpg,.jpg,jpg,35.08,519,692,False,False,,,,,,,ddee5bee29bff9c3...
099e7ef74c5247b25a53a69197136fe0.jpg,.jpg,jpg,27.36,513,686,False,False,,,,,,,564e1b2572714abc...
09a501238ce3148a5038bba66b86dece.pdf,.pdf,pdf,260.6,,,False,False,,,,,,1,44bd7a3b54a2bd0e...
09bbebecaf403b4409c14872a2a04b80.pdf,.pdf,pdf,953.04,,,False,False,,,,,,1,7d345e43ddb92370...
0a04bea9005ebd5d5a9ef3cd2018a6a7.pdf,.pdf,pdf,189.2,,,False,False,,,,,,1,afe408af69506d47...
0a13acc1840495954f7f59cb0d351c01.jpg,.jpg,jpg,26.61,607,692,False,False,,,,,,,e1b4b2b69906479e...
0a439fc42ee3ec3cda7e2c7100c4e289.pdf,.pdf,pdf,2363.39,,,False,False,,,,,,1,e44325eae9f9fb5d...
0a63a0a786a846210389cc3f0cf67a2f.jpg,.jpg,jpg,23.25,513,686,False,False,,,,,,,5ad3c799c188e732...
0a64a60a2ca610e4561ce9c7a72b55a7.pdf,.pdf,pdf,298.53,,,False,False,,,,,,2,cd473beb59a44c3a...
0a6ec976f536d1681ffba5f00daeab65.jpg,.jpg,jpg,29.25,513,686,False,False,,,,,,,982419e61695f4c9...
0a6f0dd5a4f9dd21fee6d80f3c85533c.png,.png,png,435.97,551,692,False,False,,,,,,,3759d1c76f8f1ccd...
0aaa8170613ecba582e9f5259072eac3.pdf,.pdf,pdf,667.27,,,False,False,,,,,,1,e65b2c4dad75c7e3...
0ad9a2ea819e780231a55a5171e13e3f.pdf,.pdf,pdf,1116.03,,,False,False,,,,,,1,e70abb36cc04b6d3...
0ae68a74fbdffae27faf8281e8c7684e.pdf,.pdf,pdf,3321.05,,,False,False,,,,,,2,cd61d644b790ac68...
0afeaaf99c0dbd993b0ab2f2aff867b1.pdf,.pdf,pdf,186.88,,,False,False,,,,,,1,a04c82dc47a4c0a5...
0b2dab23b1d851456caf852d096d9487.pdf,.pdf,pdf,256.31,,,False,False,,,,,,1,240b805279d64074...
0b3d7346ce8a03a1730124b8b359b51d.jpg,.jpg,jpg,32.27,592,692,False,False,,,,,,,462bc90f13296b39...
0b441340b0568a9c963294756f92838d.pdf,.pdf,pdf,452.12,,,False,False,,,,,,1,cc29d9cda6990ccf...
0b5f0eeb0cbd43569d1f7876c52ff196.pdf,.pdf,pdf,325.08,,,False,False,,,,,,1,a1703c8dddc4294d...
0b9a10c3f5c0f7810a80f40f5eb5fc75.pdf,.pdf,pdf,1954.79,,,False,False,,,,,,1,e6f0638420639798...
0bb267d9802bc4e90165aa07cc9bbffb.jpg,.jpg,jpg,152.53,864,1154,False,False,,,,,,,5b2c28d1827270d6...
0bd34de09dfc585f516fa380a2d0aec9.pdf,.pdf,pdf,311.5,,,False,False,,,,,,1,43bc462a9d15cb8e...
0bd8c9780140534dc649244480be9a81.png,.png,png,167.22,466,692,False,False,,,,,,,239e0a5c23eabbe5...
0bdd440b28b50dd26b8ef952a0a3f049.pdf,.pdf,pdf,308.48,,,False,False,,,,,,1,dd05b8944738a155...
0c1969aa347c0f5269587672f6949de5.pdf,.pdf,pdf,155.83,,,False,False,,,,,,1,69c74fef7ef42420...
0c2d0a9011e7759df55980c8ef5c16ee.jpg,.jpg,jpg,21.42,509,692,False,False,,,,,,,8c5518367828ba2a...
0c403d536d80da5f382ea85205eb262e.jpg,.jpg,jpg,107.77,1100,884,False,False,,,,,,,bf17bcda1e221787...
0c7de850e63e9b5d44dc0c2a64e61246.jpg,.jpg,jpg,21.16,482,692,False,False,,,,,,,70f414b19f4b65c8...
0c8d5082ec5cfd36c930c7857f021493.pdf,.pdf,pdf,259.7,,,False,False,,,,,,1,e4b5ec1d3bc31606...
0ce74b182cf28b5adf99abd74c70cbfd.jpg,.jpg,jpg,245.95,697,1049,False,False,,,,,,,9d67e16f7a56cb42...
0cf9c69b2469636aeeadb5ea7b7939cc.jpg,.jpg,jpg,380.31,1471,1900,False,False,,,,,,,7ad5d20beefd989c...
0cfa162bb72672cb0e732c21238bbc8f.jpg,.jpg,jpg,34.92,519,692,False,False,,,,,,,48d27cde6d9da718...
0d057c5027d48e9c5400e7795d3d8fee.pdf,.pdf,pdf,301.03,,,False,False,,,,,,1,92c0b808a2c42963...
0d18083b3226c2e51dd1d17316afd8ec.pdf,.pdf,pdf,377.5,,,False,False,,,,,,1,929061274098c06b...
0d33d7205e13f5acb2dee4a93d113dea.pdf,.pdf,pdf,100.86,,,False,False,,,,,,1,4510a0fe9884760b...
